id,keyword,rank
578106,턴다면,1
578106,수잔이,2
578106,더인심없음,3
578106,안돼이장님,4
578106,꼴지면뭐어떄요,5
578109,누나,1
578109,인어,2
578109,인어들과,3
578109,블로그에,4
578109,남주,5
579352,선인장,1
579352,업뎃,2
579352,주황,3
579352,정마루,4
579352,바람둥이,5
579414,프랑스,1
579414,휴재,2
579414,신혼집,3
579414,제거제,4
579414,출산,5
590252,거장,1
590252,거장들의,2
590252,거장이란,3
590252,역사,4
590252,화백,5
597447,힘네여,1
597447,임재익,2
597447,현아영,3
597447,타이거,4
597447,캔디,5
597478,날개,1
597478,연주,2
597478,아영이,3
597478,혁진이,4
597478,몸매,5
597593,올렸단거,1
597593,오이한테,2
597593,시골에가는,3
597593,뿔이,4
597593,미스테리,5
602287,아람아,1
602287,블러드,2
602287,뱀파이어,3
602287,휴재,4
602287,난새,5
602910,멍멍멍멍,1
602910,발암,2
602910,낙차,3
602910,도로로,4
602910,미영이,5
602916,후금,1
602916,왜란,2
602916,도원수,3
602916,누르하치,4
602916,김충선,5
602925,회춘한,1
602925,탱탱,2
602925,늦어도,3
602925,토요,4
602925,은빛질풍이,5
603159,나이트,1
603159,화이트,2
603159,천사,3
603159,빛의,4
603159,환생,5
604146,카는,1
604146,가슴,2
604146,턴수가,3
604146,크다,4
604146,동생,5
604147,뭐로녹이는줄아냐,1
604147,부적붙일거임,2
604147,산업전기세오르면,3
604147,뿔잘린사슴,4
604147,단체챗방이란것과,5
608258,비중격,1
608258,군생활,2
608258,복붙,3
608258,아말감은,4
608258,비중격만곡증,5
609477,네이,1
609477,이말년,2
609477,임화,3
609477,워닝,4
609477,단합체,5
612767,열쇠는,1
612767,치료,2
612767,시저가,3
612767,컨디션,4
612767,목요일,5
613076,고향의꽃,1
613076,문신,2
613076,잇었으면,3
613076,선이가,4
613076,아우를,5
616238,타임포즈,1
616238,게일,2
616238,라미아,3
616238,테오,4
616238,섀도,5
616239,장인어른,1
616239,주짓수,2
616239,알레르기,3
616239,사투리,4
616239,공무원,5
616883,뒷담,1
616883,토요,2
616883,오덕이,3
616883,휴재,4
616883,김닭이,5
617882,마계,1
617882,돌격,2
617882,왓이프,3
617882,훈이,4
617882,방독면,5
622638,레모,1
622638,속삭인다,2
622638,위작,3
622638,붉디,4
622638,개교기념일,5
622639,사상을,1
622639,않산,2
622639,조폭이,3
622639,조폭이라기보다,4
622639,조폭들한테도,5
622647,말안함짜식,1
622647,주방찌든때는,2
622647,장파열될걸,3
622647,반보트,4
622647,반보트들이,5
624632,팔용신전설,1
624632,용신전설,2
624632,콩나,3
624632,무협,4
624632,휴재,5
626906,휴재,1
626906,션아,2
626906,뚜도,3
626906,패싸,4
626906,야생일,5
626907,창주,1
626907,초심,2
626907,김원호,3
626907,박근혜,4
626907,전문대,5
626949,곰이,1
626949,바로,2
626949,곰한테,3
626949,곰에게,4
626949,호랑이,5
629055,기프트콘,1
629055,저격글,2
629055,겨털,3
629055,앉으,4
629055,셀스타그램,5
631780,거울에,1
631780,바이러스,2
631780,관하여,3
631780,원작,4
631780,오빠,5
632344,뚱땡이,1
632344,여사친,2
632344,냐옹이,3
632344,급전개,4
632344,쏟은,5
635174,권혁주,1
635174,해킹,2
635174,파쿠르,3
635174,컴퓨터,4
635174,킹이,5
635187,태동이,1
635187,얼핏본,2
635187,버크는,3
